1247834959777116200,DwiNoviantoro1,"RT @Je_Ly: Berita baik aplg bp @ganjarpranowo?  Ini dia😉 U/ yg terdampak Coeoba, diPHK ato dirumahkan,ayo daftar kartu Prakerja.  Ke mana D…"
1247834962532786200,Harian_Jogja,4.337 Pekerja Terdampak Corona di Bantul Diusulkan Terima Kartu Prakerja https://t.co/zZMF2xELUK https://t.co/sLgxmIuM1T
1247835154212520000,msrionas,"RT @eko_kuntadhi: Bagi mereka yang belum kerja atau korban PHK, monggo mendaftarkan diri untuk mendapat kartu prakerja. Selain ada pelatiha…"
1247835397884752000,stanza_malam,Setuju... 👍
1247835483414990800,stanza_malam,RT @Harian_Jogja: 4.337 Pekerja Terdampak Corona di Bantul Diusulkan Terima Kartu Prakerja https://t.co/zZMF2xELUK https://t.co/sLgxmIuM1T
1247835918439870500,LinkedInIndo,"Cv terkiller menurut mbak Jovita jims kemaren, Mungkin bisa dicoba. #cv #freshgraduate #lowker #infolowker https://t.co/82C7QaFaz7"
1247836054016520200,Mulianur_Toana,"RT @eko_kuntadhi: Bagi mereka yang belum kerja atau korban PHK, monggo mendaftarkan diri untuk mendapat kartu prakerja. Selain ada pelatiha…"
1247836060102447000,antaranews,Gubernur #Riau Syamsuar menyatakan #KartuPraKerja diprioritaskan bagi warga yang terkena pemutusan kerja (#PHK) seb… https://t.co/Gyi2gdqZpy
1247836985361723400,PemburuKerja,"Sekarang banyak yang kehilangan pekerjaanya karena #COVID19 , nggak ada salahnya kita daftar kartu prakerja dari pe… https://t.co/4EnU1F2PZr"
1247837055012331500,utsmansyamsudi1,"Karyawan Kena PHK Didorong Daftar Kartu Prakerja, Ini Syaratnya - https://t.co/q7fXTNfFOw https://t.co/czmj8CJjvX"
1247837341412032500,EndahMayang,RT @antaranews: Gubernur #Riau Syamsuar menyatakan #KartuPraKerja diprioritaskan bagi warga yang terkena pemutusan kerja (#PHK) sebagai dam…
1247837667997311000,Gregorius841,RT @pocosatria: Pemerintah terus upayakan kesejahteraan &amp; ekonomi rakyat tetap berjalan #CekalCoronaSaveEkonomi https://t.co/ungjSEOlQJ
1247837872826110000,babyblegum,Ema w daftarin w kartu prakerja padahal w lagi kuliah hmm sesuka hati ajadah
1247838469952422000,aditorado,"RT @PRFMnews: Mangga kang bisa buat akun dan log in di website https://t.co/xydVeGd2Wy, lalu tunggu hasil verifikasi dari pihak Project Man…"
1247838901127000000,translatorbali,"@jokowi Melalui Kartu Prakerja, Pemerintah bantu 5.6 juta pekerja yang terkena dampak langsung dari wabah COVID-19… https://t.co/zIsoZovBAr"
1247838956474925000,translatorbali,"RT @translatorbali: @jokowi Melalui Kartu Prakerja, Pemerintah bantu 5.6 juta pekerja yang terkena dampak langsung dari wabah COVID-19  @pe…"
1247839916102320000,PemburuKerja,"Sekarang banyak yang kehilangan pekerjaannya karena #COVID19 , nggak ada salahnya kita daftar kartu prakerja dari p… https://t.co/3kwKFs1YuZ"
1247840061745320000,BudayaOkan,@_uangreceh Tenang jangan bikin kisruh negara  kan ada uang dri pemerintah bantuan  korona perbulan ada juga kartu… https://t.co/c9c5yXaT0F
1247840210303451100,topinfo_id,Gubernur: Riau dapatkan 92 ribu Kartu Prakerja https://t.co/CwWxtmClGV https://t.co/HFXFpSuhcG
1247840525828276200,Globalnews222,"RT @translatorbali: @jokowi Melalui Kartu Prakerja, Pemerintah bantu 5.6 juta pekerja yang terkena dampak langsung dari wabah COVID-19  @pe…"
